Свойство	Значение	Тип
Объект	ДанныеФормыСтруктура	ДанныеФормыСтруктура
АгентскиеУслуги	ДанныеФормыКоллекция	ДанныеФормыКоллекция
АдресДоставки	""	Строка
АдресДоставкиЗначение	""	Строка
БанковскийСчетОрганизации		СправочникСсылка.БанковскиеСчета
БезОтраженияВУчете	Ложь	Булево
ВалютаДокумента	руб.	СправочникСсылка.Валюты
ВерсияДанных	""	Строка
ВидОперации	Товары и услуги	ПеречислениеСсылка.ВидыОперацийРеализацияТоваров
ВидТранспортаНаГранице	""	Строка
ВидЭлектронногоДокумента		ПеречислениеСсылка.ТипыДокументовЭДО
Водитель	""	Строка
ВодительДолжность	""	Строка
ВодительскоеУдостоверение	""	Строка
ВозвратнаяТара	ДанныеФормыКоллекция	ДанныеФормыКоллекция
ГлавныйБухгалтер		СправочникСсылка.ФизическиеЛица
Грузоотправитель		СправочникСсылка.Контрагенты
Грузополучатель		СправочникСсылка.Контрагенты
Дата	12.02.2026 0:00:00	Дата
ДеятельностьНаПатенте	Ложь	Булево
ДеятельностьНаТорговомСборе	Ложь	Булево
ДоверенностьВыдана	""	Строка
ДоверенностьДата	01.01.0001 0:00:00	Дата
ДоверенностьНомер	""	Строка
ДоверенностьЧерезКого	""	Строка
ДоговорКомиссионера		СправочникСсылка.ДоговорыКонтрагентов
ДоговорКонтрагента		СправочникСсылка.ДоговорыКонтрагентов
ДокументБезНДС	Ложь	Булево
ЕстьМаркируемаяПродукцияГИСМ	Ложь	Булево
ЕстьПодакцизныеТовары	Ложь	Булево
ЗаГлавногоБухгалтераНаОсновании		СправочникСсылка.ОснованияПраваПодписи
ЗаЗаказчикаНаОсновании	""	Строка
ЗаРуководителяНаОсновании		СправочникСсылка.ОснованияПраваПодписи
ЗагрузкаИзBnovo	Ложь	Булево
ЗачетАвансов	ДанныеФормыКоллекция	ДанныеФормыКоллекция
ИдентификаторЧекаККМДляОбмена	""	Строка
Комиссионер		СправочникСсылка.Контрагенты
Комментарий	""	Строка
Контрагент		СправочникСсылка.Контрагенты
КраткоеНаименованиеГруза	""	Строка
КратностьВзаиморасчетов	1	Число
КурсВзаиморасчетов	1	Число
МаркаАвтомобиля	""	Строка
МаркаПрицепа	""	Строка
НДССМежценовойРазницы	Ложь	Булево
Номер	"           "	Строка
НомерВходящегоДокумента	""	Строка
НомерДляОтслеживания	""	Строка
НомерЧекаККМ	0	Число
ОбъектВыполненияРабот		СправочникСсылка.ОбъектыВыполненияРабот
ОплатаЧерезКомиссионера	Ложь	Булево
Организация	ДОМ ЛЕСА ООО	СправочникСсылка.Организации
ОснованиеПередачи	""	Строка
Ответственный	ГлавБух	СправочникСсылка.Пользователи
ОтветственныйЗаОформление		СправочникСсылка.ФизическиеЛица
ОтпускПроизвел		СправочникСсылка.ФизическиеЛица
ОтчетМаркетплейса		ДокументСсылка.ОтчетМаркетплейса
Патент		СправочникСсылка.Патенты
ПеревозкаАвтотранспортом	Ложь	Булево
Перевозчик		СправочникСсылка.Контрагенты
ПериодНачалаРабот	01.01.0001 0:00:00	Дата
ПериодОкончанияРабот	01.01.0001 0:00:00	Дата
ПодразделениеОрганизации		СправочникСсылка.ПодразделенияОрганизаций
ПометкаУдаления	Ложь	Булево
Проведен	Ложь	Булево
РегистрационныйЗнакАвтомобиля	""	Строка
РегистрационныйЗнакПрицепа	""	Строка
РежимЗаполненияОснованияПередачи	0	Число
Руководитель	Медведева Елена Игоревна	СправочникСсылка.ФизическиеЛица
РучнаяКорректировка	Ложь	Булево
СведенияОТранспортировкеИГрузе	""	Строка
СведенияПрослеживаемости	ДанныеФормыКоллекция	ДанныеФормыКоллекция
Склад	Основной склад	СправочникСсылка.Склады
СопроводительныеДокументы	""	Строка
СпособДоставки		СправочникСсылка.СпособыДоставки
СпособЗачетаАвансов	Автоматически	ПеречислениеСсылка.СпособыЗачетаАвансов
Ссылка		ДокументСсылка.РеализацияТоваровУслуг
СтранаРеализации		СправочникСсылка.СтраныМира
СуммаВключаетНДС	Истина	Булево
СуммаДокумента	0	Число
СчетНаОплатуПокупателю		ДокументСсылка.СчетНаОплатуПокупателю
СчетУчетаРасчетовПоАвансам	62.02	ПланСчетовСсылка.Хозрасчетный
СчетУчетаРасчетовПоТаре		ПланСчетовСсылка.Хозрасчетный
СчетУчетаРасчетовСКомиссионером		ПланСчетовСсылка.Хозрасчетный
СчетУчетаРасчетовСКомиссионеромПоАвансам		ПланСчетовСсылка.Хозрасчетный
СчетУчетаРасчетовСКонтрагентом	62.01	ПланСчетовСсылка.Хозрасчетный
ТипЦен		СправочникСсылка.ТипыЦенНоменклатуры
Товары	ДанныеФормыКоллекция	ДанныеФормыКоллекция
УдалитьЗаГлавногоБухгалтераПоПриказу	""	Строка
УдалитьЗаРуководителяПоПриказу	""	Строка
Услуги	ДанныеФормыКоллекция	ДанныеФормыКоллекция
ШтрихкодыУпаковок	ДанныеФормыКоллекция	ДанныеФормыКоллекция
ЭлектроннаяТорговаяПлощадка	Ложь	Булево
ЭтапГосконтрактаЕИС	""	Строка
ЭтоУниверсальныйДокумент	Ложь	Булево
