Свойство	Значение	Тип
ЭтотОбъект	ФормаКлиентскогоПриложения	ФормаКлиентскогоПриложения
АвтоВремя	Текущее или последним	РежимАвтоВремя
АвтоЗаголовок	Ложь	Булево
АвтоНавигационнаяСсылка	Истина	Булево
АвтоматическоеСохранениеДанныхВНастройках	Не использовать	АвтоматическоеСохранениеДанныхФормыВНастройках
АвторасчетСрокаОплаты	Ложь	Булево
ВалютаВзаиморасчетов		СправочникСсылка.Валюты
ВалютаРегламентированногоУчета		СправочникСсылка.Валюты
ВедетсяУчетНДСПоФЗ150	Ложь	Булево
ВедетсяУчетНДСПоФЗ335	Ложь	Булево
ВедетсяУчетПрослеживаемыхТоваров	Ложь	Булево
ВертикальнаяПрокрутка	Авто	ВертикальнаяПрокруткаФормы
ВертикальноеПоложениеПодчиненных	Авто	ВертикальноеПоложениеЭлемента
ВертикальныйИнтервал	Авто	ИнтервалМеждуЭлементамиФормы
ВестиУчетМаркируемойПродукцииИСМП	Ложь	Булево
ВестиУчетПоДоговорам	Ложь	Булево
ВидОперацииПриОткрытии		ПеречислениеСсылка.ВидыОперацийРеализацияТоваров
ВидыПроизведенныхПодакцизныхТоваров		СписокЗначений
ВладелецФормы	Свойство недоступно на сервере	
ВыборДоступен	Истина	Булево
ВыделенныйЭлементПодсказки	""	Строка
ВызовУдалитьСвязанныеЗаписи	""	Строка
ВыравниваниеЭлементовИЗаголовков	Авто	ВариантВыравниванияЭлементовИЗаголовков
Высота	0	Число
ГоризонтальноеПоложениеПодчиненных	Авто	ГоризонтальноеПоложениеЭлемента
ГоризонтальныйИнтервал	Авто	ИнтервалМеждуЭлементамиФормы
Группировка	Вертикальная	ГруппировкаПодчиненныхЭлементовФормы
ДатаЗаявленияОВвозеТоваровПолученного	01.01.0001 0:00:00	Дата
ДатыИзмененияАдресаГрузополучателя		Неопределено
ДатыИзмененияОтветственныхЛиц		Неопределено
ДоставкаИОплата	""	Строка
Доступность	Истина	Булево
ЕстьВалютныйУчет	Ложь	Булево
ЕстьДоставка	Ложь	Булево
ЕстьНомерДляОтслеживания	Ложь	Булево
ЕстьПравоСозданиеЭТрН	Ложь	Булево
ЕстьСтрокиВозвратнойТары	Ложь	Булево
ЕстьУчетПодакцизныхТоваров	Ложь	Булево
ЕстьФискальныеОперацииПоДокументу	Ложь	Булево
Заголовок	""	Строка
ЗакрыватьПриВыборе	Истина	Булево
ЗакрыватьПриЗакрытииВладельца	Ложь	Булево
ЗаполнятьОтветственногоПоПродажамИзКонтрагента	Ложь	Булево
ЗаявлениеОВвозеТоваровПолученное		ДокументСсылка.ЗаявлениеОВвозеТоваровПолученное
ИмяФормы	"Документ.РеализацияТоваровУслуг.Форма.ФормаДокументаОбщая"	Строка
ИспользоватьДоставкуТранспортнойКомпанией	Ложь	Булево
ИспользоватьКонтрольныеЗнакиГИСМ	Ложь	Булево
ИспользоватьНачислениеНДССМежценовойРазницы	Ложь	Булево
ИспользоватьНесколькоБанковскихСчетовОрганизации	Ложь	Булево
ИспользоватьОбменЭД	Ложь	Булево
ИспользоватьОднуНоменклатурнуюГруппу	Ложь	Булево
ИспользоватьПодключаемоеОборудование	Ложь	Булево
ИспользоватьРежимПроведения	Авто	ИспользованиеРежимаПроведения
ИспользоватьТипыЦенНоменклатуры	Ложь	Булево
ИспользуемыйСерверФормы	Основной	ИспользуемыйСервер
ИспользуетсяПланированиеПлатежей	Ложь	Булево
ИтогиВсего	0	Число
ИтогиВсегоНДС	0	Число
КлючНазначенияИспользования	""	Строка
КлючСохраненияПоложенияОкна	""	Строка
КлючУникальности	Свойство недоступно на сервере	
КодВидаОперации	""	Строка
КоличествоРНПТДоАвтоподбора	0	Число
КоманднаяПанель	ГруппаФормы	ГруппаФормы
Команды	КомандыФормы	КомандыФормы
Масштаб	100	Число
МодальныйРежим	Свойство недоступно на сервере	
Модифицированность	Ложь	Булево
НавигационнаяСсылка	""	Строка
НадписьЗаявленияОВвозеТоваровПолученного	""	Строка
НадписьПроверкаРНПТ	""	Строка
НадписьСчет	""	Строка
НадписьСчетФактура	""	Строка
НадписьУведомлениеОПеремещении		ФорматированнаяСтрока
НастроенОбменЭПД	Ложь	Булево
НастройкиУсловногоОформления		Неопределено
Новости		Неопределено
НомерЗаявленияОВвозеТоваровПолученного	""	Строка
НомерНаПечать	""	Строка
